date,hits,geo,time,keyword,gprop,category
4/8/2018,27,US,today+5-y,mobile,web,0
4/15/2018,59,US,today+5-y,mobile,web,0
4/22/2018,98,US,today+5-y,mobile,web,0
4/29/2018,16,US,today+5-y,mobile,web,0
5/6/2018,54,US,today+5-y,mobile,web,0
5/13/2018,33,US,today+5-y,mobile,web,0
5/20/2018,45,US,today+5-y,mobile,web,0
5/27/2018,34,US,today+5-y,mobile,web,0
6/3/2018,34,US,today+5-y,mobile,web,0
6/10/2018,39,US,today+5-y,mobile,web,0
6/17/2018,34,US,today+5-y,mobile,web,0
6/24/2018,17,US,today+5-y,mobile,web,0
7/1/2018,35,US,today+5-y,mobile,web,0
7/8/2018,22,US,today+5-y,mobile,web,0
7/15/2018,17,US,today+5-y,mobile,web,0
7/22/2018,23,US,today+5-y,mobile,web,0
7/29/2018,34,US,today+5-y,mobile,web,0
8/5/2018,17,US,today+5-y,mobile,web,0
8/12/2018,34,US,today+5-y,mobile,web,0
8/19/2018,17,US,today+5-y,mobile,web,0
8/26/2018,34,US,today+5-y,mobile,web,0
9/2/2018,55,US,today+5-y,mobile,web,0
9/9/2018,0,US,today+5-y,mobile,web,0
9/16/2018,60,US,today+5-y,mobile,web,0
9/23/2018,60,US,today+5-y,mobile,web,0
9/30/2018,49,US,today+5-y,mobile,web,0
10/7/2018,78,US,today+5-y,mobile,web,0
10/14/2018,50,US,today+5-y,mobile,web,0
10/21/2018,60,US,today+5-y,mobile,web,0
10/28/2018,33,US,today+5-y,mobile,web,0
11/4/2018,89,US,today+5-y,mobile,web,0
11/11/2018,16,US,today+5-y,mobile,web,0
11/18/2018,46,US,today+5-y,mobile,web,0
11/25/2018,52,US,today+5-y,mobile,web,0
12/2/2018,54,US,today+5-y,mobile,web,0
12/9/2018,38,US,today+5-y,mobile,web,0
12/16/2018,50,US,today+5-y,mobile,web,0
12/23/2018,19,US,today+5-y,mobile,web,0
12/30/2018,35,US,today+5-y,mobile,web,0
1/6/2019,16,US,today+5-y,mobile,web,0
1/13/2019,40,US,today+5-y,mobile,web,0
1/20/2019,43,US,today+5-y,mobile,web,0
1/27/2019,26,US,today+5-y,mobile,web,0
2/3/2019,26,US,today+5-y,mobile,web,0
2/10/2019,73,US,today+5-y,mobile,web,0
2/17/2019,26,US,today+5-y,mobile,web,0
2/24/2019,26,US,today+5-y,mobile,web,0
3/3/2019,53,US,today+5-y,mobile,web,0
3/10/2019,48,US,today+5-y,mobile,web,0
3/17/2019,81,US,today+5-y,mobile,web,0
3/24/2019,43,US,today+5-y,mobile,web,0
3/31/2019,49,US,today+5-y,mobile,web,0
4/7/2019,49,US,today+5-y,mobile,web,0
4/14/2019,61,US,today+5-y,mobile,web,0
4/21/2019,83,US,today+5-y,mobile,web,0
4/28/2019,27,US,today+5-y,mobile,web,0
5/5/2019,49,US,today+5-y,mobile,web,0
5/12/2019,33,US,today+5-y,mobile,web,0
5/19/2019,56,US,today+5-y,mobile,web,0
5/26/2019,28,US,today+5-y,mobile,web,0
6/2/2019,27,US,today+5-y,mobile,web,0
6/9/2019,17,US,today+5-y,mobile,web,0
6/16/2019,44,US,today+5-y,mobile,web,0
6/23/2019,57,US,today+5-y,mobile,web,0
6/30/2019,35,US,today+5-y,mobile,web,0
7/7/2019,25,US,today+5-y,mobile,web,0
7/14/2019,39,US,today+5-y,mobile,web,0
7/21/2019,40,US,today+5-y,mobile,web,0
7/28/2019,40,US,today+5-y,mobile,web,0
8/4/2019,45,US,today+5-y,mobile,web,0
8/11/2019,49,US,today+5-y,mobile,web,0
8/18/2019,16,US,today+5-y,mobile,web,0
8/25/2019,47,US,today+5-y,mobile,web,0
9/1/2019,31,US,today+5-y,mobile,web,0
9/8/2019,38,US,today+5-y,mobile,web,0
9/15/2019,70,US,today+5-y,mobile,web,0
9/22/2019,71,US,today+5-y,mobile,web,0
9/29/2019,46,US,today+5-y,mobile,web,0
10/6/2019,66,US,today+5-y,mobile,web,0
10/13/2019,76,US,today+5-y,mobile,web,0
10/20/2019,40,US,today+5-y,mobile,web,0
10/27/2019,60,US,today+5-y,mobile,web,0
11/3/2019,60,US,today+5-y,mobile,web,0
11/10/2019,69,US,today+5-y,mobile,web,0
11/17/2019,49,US,today+5-y,mobile,web,0
11/24/2019,47,US,today+5-y,mobile,web,0
12/1/2019,63,US,today+5-y,mobile,web,0
12/8/2019,15,US,today+5-y,mobile,web,0
12/15/2019,51,US,today+5-y,mobile,web,0
12/22/2019,40,US,today+5-y,mobile,web,0
12/29/2019,21,US,today+5-y,mobile,web,0
1/5/2020,39,US,today+5-y,mobile,web,0
1/12/2020,49,US,today+5-y,mobile,web,0
1/19/2020,68,US,today+5-y,mobile,web,0
1/26/2020,72,US,today+5-y,mobile,web,0
2/2/2020,29,US,today+5-y,mobile,web,0
2/9/2020,71,US,today+5-y,mobile,web,0
2/16/2020,64,US,today+5-y,mobile,web,0
2/23/2020,60,US,today+5-y,mobile,web,0
3/1/2020,64,US,today+5-y,mobile,web,0
3/8/2020,50,US,today+5-y,mobile,web,0
3/15/2020,54,US,today+5-y,mobile,web,0
3/22/2020,48,US,today+5-y,mobile,web,0
3/29/2020,100,US,today+5-y,mobile,web,0
